,answer_count,follower_count,gender,name
0,20299,752645,1,vczh
1,65,5182,1,崔庆才丨静觅
2,279,87413,-1,阿里云云栖社区
3,254,37549,1,Crossin
4,9,526,0,我是米酒
5,35,9127,-1,壹球ONEBALL
6,206,181,-1,要是有如果该多好啊
7,93,13307,1,少年
8,17,45165,-1,量子位
9,795,736160,-1,KnowYourself
10,1,159,1,TED
11,52,58962,1,原画册韩松
12,235,68566,1,Mr.Poker
13,9,138,1,游一手
14,324,497535,-1,真实故事计划
15,1,48525,-1,twocold
16,152,18259,1,普先生
17,149,61855,-1,好奇心日报
18,108,76948,1,邹昕
19,3351,1776071,1,张佳玮
20,2,1023,0,张狮狮
21,3,334,-1,宫喵心
22,20,1321,0,小囡囡
23,108,3001,0,小西瓜
24,20,5169,0,我和我的各自天涯
25,9,223,0,xqq
26,31,1902,0,深情留不住
27,7,1048,0,夏井洋子
28,3,19119,-1,知一声
29,157,1562,1,金融泄密局
30,1,134,0,艳物
31,1,629,0,施冰儿
32,2,485,0,Skye元
33,0,55,0,陈闻溪
34,17,26,0,金安慕
35,20,626,0,我爱香港文学
36,2,1529,0,猫非路过
37,32,142,0,Serenity Lau
38,10,1887,0,奶糖
39,5,989,-1,麦冬令
40,33,7053,0,Deja-vu
41,58,14604,1,忆臻
42,140,997,1,少强
43,84,34174,-1,李永乐老师
44,5,27166,0,女流
45,101,106347,1,皇太极
46,2,4123,-1,商汤科技SenseTime
47,82,4105,1,强哥
48,121,51,-1,宇皇
49,1762,12319,0,开源哥
50,2,1496,1,踟亍
51,108,18042,0,祖祖zuzu
52,53,63604,1,道哥
53,4,88935,1,陈佩斯
54,11,540,0,桃娘娘儿
55,78,360,1,DarrenChan陈驰
56,18,44506,1,刘看山
57,48,59947,1,李东旭
58,246,90714,0,七七
59,259,83370,1,高远
60,98,1441,-1,云栖小二
61,2,3420,0,知乎机构号团队
62,197,7118,1,slashhuang
63,4,1602,1,鸣嵩
64,57,6658,1,孤尽
65,25,18051,-1,阿里云
66,3,518,-1,阿里云安全
67,8,28132,-1,美团技术团队
68,107,10509,1,余锋
69,64,7085,0,亚洲航空
70,8,166,0,大数据小编
71,0,962,-1,云中小蜜蜂
72,22,2223,-1,阿里云大学
73,376,117293,-1,杜蕾斯
74,69,110045,-1,机器之心
75,41,39804,1,秦路
76,37,185,1,李克
77,134,6653,1,叔度
78,4,395,1,Epic Composer
79,0,55,-1,陈显鹭
80,65,5182,1,崔庆才丨静觅
81,473,9929,1,Pegasus Wang
82,578,48460,1,韦易笑
83,526,12606,1,simaziyu
84,14,28,0,苏格拉惠
85,28,5173,-1,DataCastle
86,82,14117,1,App小公主
87,25,540,0,小黑
88,36,20303,0,邓可爱
89,27,7875,-1,扇贝
90,14,320,0,蔷薇
91,98,7331,1,王哲
92,1,159,1,TED
93,28,5920,1,神奇的战士
94,328,288,0,Andrew Wiggin
95,1004,10013,1,陈满砚
96,5,13,0,齐纳
97,222,41030,1,SimonS
98,177,16716,1,刘志军
99,341,25775,1,Suji Yan
100,1,128564,-1,刘昊然
101,65,5182,1,崔庆才丨静觅
102,15,354,0,素色枕头
103,2,166,0,赡葡
104,2,840,0,beauty
105,31,4217,1,知白
106,175,67063,-1,北冥乘海生
107,124,80626,0,空白白白白
108,54,70128,1,Yiqin Fu
109,86,45453,1,张溪梦 Simon
110,421,57936,1,Lincoln
111,304,202316,1,曹政
112,299,383545,1,曾加
113,330,242545,1,路人甲
114,192,27734,1,猴子
115,8,9576,1,数据分析狮
116,108,76948,1,邹昕
117,840,282027,1,何明科
118,235,157627,0,田可乐
119,112,40761,0,九月
120,9,2,0,阿立
121,2,1,0,哒哒哒党
122,0,1,-1,红鲤鱼与绿鲤鱼与驴
123,0,1,-1,陈独秀
124,4,1,-1,时心
125,9,5,0,十三
126,2,13,-1,倪永孝
127,0,1,0,小Z的kyoto
128,4,2,-1,aaca
129,0,3,1,lxq
130,0,1,-1,aaa
131,0,1,0,黄妮
132,4,3,0,无可奉告
133,0,1,0,大道之行
134,0,1,-1,南风愚人
135,1,1,-1,忘忧草
136,2,1,-1,从小就是一头犟驴
137,5,3,0,米宝
138,0,1,-1,全幼儿园最可爱ayyy
139,0,4,1,娜娜
140,1,1,-1,Damn it
141,66,7578,1,王文鹏
142,0,18,-1,吴克群
143,10,1,0,小奶酪还是小飞侠
144,1,85,0,郑雨洁
145,830,293,0,鸩酒
146,201,8321,0,瞪老师
147,384,1349721,-1,丁香医生
148,32,32,0,心结
149,23,60854,1,我就是月下
150,6375,168518,1,温酒
151,13,4,0,宇乐
152,62,1469,0,李珺
153,30,864,1,规划君
154,323,55,1,洒家有话说
155,18,55,0,漪笙
156,24,7297,0,一团乱麻
157,87,26215,1,江南愤青
